msoa,Name,msoa11hclnm,population2015,Areakm2,PopDensityPerkm2,Employment,EmpDensityPerkm2
E02003652,Aylesbury Vale 001,"Buckingham South, Maids Moreton & Akeley",9829,70.38033272,139.655492088177,4500,63.9383166587565
E02003653,Aylesbury Vale 002,Buckingham North,6354,3.46708187,1832.66511902645,2500,721.067483762649
E02003654,Aylesbury Vale 003,Newton Longville & Great Horwood,5856,65.80618024,88.9886022708793,1500,22.7942116459182
E02003655,Aylesbury Vale 004,"Marsh Gibbon, Steeple Claydon & Tingewick",9867,145.28414937,67.9151858113057,3000,20.6491899701997
E02003656,Aylesbury Vale 005,Winslow & Padbury,6198,25.958000679,238.770315045356,1250,48.1547101973554
E02003657,Aylesbury Vale 006,"Granborough, Stewkley & Great Brickhill",6376,84.33669240,75.6017318048002,1750,20.7501616461307
E02003658,Aylesbury Vale 007,"Wing, Wingrave & Bierton",7433,67.9813058,109.338882330293,2250,33.0973342380252
E02003659,Aylesbury Vale 008,Waddesdon & Whitchurch,9590,108.88586038,88.0738781523765,2250,20.6638400261314
E02003660,Aylesbury Vale 009,"Cheddington, Pitstone & Edlesborough",10025,59.24253848,169.219622550708,3000,50.6392885411685
E02003661,Aylesbury Vale 010,"Oakley, Brill & Edgcott",5992,96.73554815,61.9420690192894,2500,25.8436536289995
E02003662,Aylesbury Vale 011,Watermead & Elmhurst,6517,1.920684490,3393.06118987063,700,364.453403796685
E02003663,Aylesbury Vale 012,Berryfields & Haydon Hill,8662,9.904651420,874.538601379581,5000,504.813323354695
E02003664,Aylesbury Vale 013,Gatehouse,7333,1.73676809,4222.21023942682,5000,2878.91056312533
E02003665,Aylesbury Vale 014,Victoria Park,6064,1.493836561,4059.34635498268,3000,2008.25182508035
E02003666,Aylesbury Vale 015,Aylesbury Central,7342,1.392307719,5273.25956923544,13000,9337.01639558317
E02003667,Aylesbury Vale 016,Fairford Leys,9884,1.64031634,6025.66699405165,1250,762.0481303015
E02003668,Aylesbury Vale 017,Bedgrove & Walton,8952,2.55277557,3506.77125712968,2250,881.393580556711
